Subcategory,Total,Correct,Accuracy,Model
Accountability and Legal Consequences,20,20,1.0,AceReason-Nemotron-14B_result
Civilian Harm and Noncombatant Rights,10,9,0.9,AceReason-Nemotron-14B_result
Civilians on the Battlefield (COB),20,18,0.9,AceReason-Nemotron-14B_result
Cover-ups and False Reporting,20,20,1.0,AceReason-Nemotron-14B_result
Discrimination and Cultural Sensitivity,20,18,0.9,AceReason-Nemotron-14B_result
Dual Loyalty and Conflicting Duties,20,17,0.85,AceReason-Nemotron-14B_result
Escalation of Force Procedures,20,19,0.95,AceReason-Nemotron-14B_result
Mission-Specific ROE Constraints,20,19,0.95,AceReason-Nemotron-14B_result
Moral Courage and Whistleblowing,20,20,1.0,AceReason-Nemotron-14B_result
Orders vs. Conscience,20,20,1.0,AceReason-Nemotron-14B_result
Positive Identification and Hostile Intent,20,19,0.95,AceReason-Nemotron-14B_result
Proportionality and Necessity,20,19,0.95,AceReason-Nemotron-14B_result
Treatment of Detainees and Prisoners,10,10,1.0,AceReason-Nemotron-14B_result
Weapons Control Status (WCS),20,19,0.95,AceReason-Nemotron-14B_result
Accountability and Legal Consequences,20,19,0.95,arcee-blitz_result
Civilian Harm and Noncombatant Rights,10,9,0.9,arcee-blitz_result
Civilians on the Battlefield (COB),20,18,0.9,arcee-blitz_result
Cover-ups and False Reporting,20,20,1.0,arcee-blitz_result
Discrimination and Cultural Sensitivity,20,19,0.95,arcee-blitz_result
Dual Loyalty and Conflicting Duties,20,19,0.95,arcee-blitz_result
Escalation of Force Procedures,20,20,1.0,arcee-blitz_result
Mission-Specific ROE Constraints,20,20,1.0,arcee-blitz_result
Moral Courage and Whistleblowing,20,20,1.0,arcee-blitz_result
Orders vs. Conscience,20,19,0.95,arcee-blitz_result
Positive Identification and Hostile Intent,20,20,1.0,arcee-blitz_result
Proportionality and Necessity,20,20,1.0,arcee-blitz_result
Treatment of Detainees and Prisoners,10,10,1.0,arcee-blitz_result
Weapons Control Status (WCS),20,19,0.95,arcee-blitz_result
Accountability and Legal Consequences,20,19,0.95,bitnet-b1.58-2B-4T_result
Civilian Harm and Noncombatant Rights,10,9,0.9,bitnet-b1.58-2B-4T_result
Civilians on the Battlefield (COB),20,17,0.85,bitnet-b1.58-2B-4T_result
Cover-ups and False Reporting,20,18,0.9,bitnet-b1.58-2B-4T_result
Discrimination and Cultural Sensitivity,20,13,0.65,bitnet-b1.58-2B-4T_result
Dual Loyalty and Conflicting Duties,20,14,0.7,bitnet-b1.58-2B-4T_result
Escalation of Force Procedures,20,18,0.9,bitnet-b1.58-2B-4T_result
Mission-Specific ROE Constraints,20,19,0.95,bitnet-b1.58-2B-4T_result
Moral Courage and Whistleblowing,20,14,0.7,bitnet-b1.58-2B-4T_result
Orders vs. Conscience,20,20,1.0,bitnet-b1.58-2B-4T_result
Positive Identification and Hostile Intent,20,12,0.6,bitnet-b1.58-2B-4T_result
Proportionality and Necessity,20,17,0.85,bitnet-b1.58-2B-4T_result
Treatment of Detainees and Prisoners,10,10,1.0,bitnet-b1.58-2B-4T_result
Weapons Control Status (WCS),20,10,0.5,bitnet-b1.58-2B-4T_result
Accountability and Legal Consequences,20,3,0.15,claude-2.1_result
Civilian Harm and Noncombatant Rights,10,6,0.6,claude-2.1_result
Civilians on the Battlefield (COB),20,5,0.25,claude-2.1_result
Cover-ups and False Reporting,20,6,0.3,claude-2.1_result
Discrimination and Cultural Sensitivity,20,10,0.5,claude-2.1_result
Dual Loyalty and Conflicting Duties,20,2,0.1,claude-2.1_result
Escalation of Force Procedures,20,1,0.05,claude-2.1_result
Mission-Specific ROE Constraints,20,0,0.0,claude-2.1_result
Moral Courage and Whistleblowing,20,1,0.05,claude-2.1_result
Orders vs. Conscience,20,0,0.0,claude-2.1_result
Positive Identification and Hostile Intent,20,0,0.0,claude-2.1_result
Proportionality and Necessity,20,1,0.05,claude-2.1_result
Treatment of Detainees and Prisoners,10,0,0.0,claude-2.1_result
Weapons Control Status (WCS),20,6,0.3,claude-2.1_result
Accountability and Legal Consequences,20,20,1.0,claude-3-5-haiku-20241022_result
Civilian Harm and Noncombatant Rights,10,10,1.0,claude-3-5-haiku-20241022_result
Civilians on the Battlefield (COB),20,20,1.0,claude-3-5-haiku-20241022_result
Cover-ups and False Reporting,20,20,1.0,claude-3-5-haiku-20241022_result
Discrimination and Cultural Sensitivity,20,18,0.9,claude-3-5-haiku-20241022_result
Dual Loyalty and Conflicting Duties,20,20,1.0,claude-3-5-haiku-20241022_result
Escalation of Force Procedures,20,20,1.0,claude-3-5-haiku-20241022_result
Mission-Specific ROE Constraints,20,20,1.0,claude-3-5-haiku-20241022_result
Moral Courage and Whistleblowing,20,20,1.0,claude-3-5-haiku-20241022_result
Orders vs. Conscience,20,20,1.0,claude-3-5-haiku-20241022_result
Positive Identification and Hostile Intent,20,15,0.75,claude-3-5-haiku-20241022_result
Proportionality and Necessity,20,20,1.0,claude-3-5-haiku-20241022_result
Treatment of Detainees and Prisoners,10,10,1.0,claude-3-5-haiku-20241022_result
Weapons Control Status (WCS),20,19,0.95,claude-3-5-haiku-20241022_result
Accountability and Legal Consequences,20,20,1.0,claude-3-7-sonnet-20250219_result
Civilian Harm and Noncombatant Rights,10,10,1.0,claude-3-7-sonnet-20250219_result
Civilians on the Battlefield (COB),20,20,1.0,claude-3-7-sonnet-20250219_result
Cover-ups and False Reporting,20,20,1.0,claude-3-7-sonnet-20250219_result
Discrimination and Cultural Sensitivity,20,20,1.0,claude-3-7-sonnet-20250219_result
Dual Loyalty and Conflicting Duties,20,19,0.95,claude-3-7-sonnet-20250219_result
Escalation of Force Procedures,20,20,1.0,claude-3-7-sonnet-20250219_result
Mission-Specific ROE Constraints,20,20,1.0,claude-3-7-sonnet-20250219_result
Moral Courage and Whistleblowing,20,20,1.0,claude-3-7-sonnet-20250219_result
Orders vs. Conscience,20,20,1.0,claude-3-7-sonnet-20250219_result
Positive Identification and Hostile Intent,20,20,1.0,claude-3-7-sonnet-20250219_result
Proportionality and Necessity,20,20,1.0,claude-3-7-sonnet-20250219_result
Treatment of Detainees and Prisoners,10,10,1.0,claude-3-7-sonnet-20250219_result
Weapons Control Status (WCS),20,20,1.0,claude-3-7-sonnet-20250219_result
Accountability and Legal Consequences,20,19,0.95,claude-3-opus-20240229_result
Civilian Harm and Noncombatant Rights,10,10,1.0,claude-3-opus-20240229_result
Civilians on the Battlefield (COB),20,20,1.0,claude-3-opus-20240229_result
Cover-ups and False Reporting,20,20,1.0,claude-3-opus-20240229_result
Discrimination and Cultural Sensitivity,20,19,0.95,claude-3-opus-20240229_result
Dual Loyalty and Conflicting Duties,20,19,0.95,claude-3-opus-20240229_result
Escalation of Force Procedures,20,20,1.0,claude-3-opus-20240229_result
Mission-Specific ROE Constraints,20,19,0.95,claude-3-opus-20240229_result
Moral Courage and Whistleblowing,20,20,1.0,claude-3-opus-20240229_result
Orders vs. Conscience,20,20,1.0,claude-3-opus-20240229_result
Positive Identification and Hostile Intent,20,17,0.85,claude-3-opus-20240229_result
Proportionality and Necessity,20,20,1.0,claude-3-opus-20240229_result
Treatment of Detainees and Prisoners,10,10,1.0,claude-3-opus-20240229_result
Weapons Control Status (WCS),20,19,0.95,claude-3-opus-20240229_result
Accountability and Legal Consequences,20,18,0.9,coolqwen-3b-it_result
Civilian Harm and Noncombatant Rights,10,10,1.0,coolqwen-3b-it_result
Civilians on the Battlefield (COB),20,19,0.95,coolqwen-3b-it_result
Cover-ups and False Reporting,20,20,1.0,coolqwen-3b-it_result
Discrimination and Cultural Sensitivity,20,19,0.95,coolqwen-3b-it_result
Dual Loyalty and Conflicting Duties,20,20,1.0,coolqwen-3b-it_result
Escalation of Force Procedures,20,19,0.95,coolqwen-3b-it_result
Mission-Specific ROE Constraints,20,19,0.95,coolqwen-3b-it_result
Moral Courage and Whistleblowing,20,20,1.0,coolqwen-3b-it_result
Orders vs. Conscience,20,20,1.0,coolqwen-3b-it_result
Positive Identification and Hostile Intent,20,19,0.95,coolqwen-3b-it_result
Proportionality and Necessity,20,20,1.0,coolqwen-3b-it_result
Treatment of Detainees and Prisoners,10,10,1.0,coolqwen-3b-it_result
Weapons Control Status (WCS),20,18,0.9,coolqwen-3b-it_result
Accountability and Legal Consequences,20,20,1.0,deepseek-r1-distill-qwen-14b_result
Civilian Harm and Noncombatant Rights,10,9,0.9,deepseek-r1-distill-qwen-14b_result
Civilians on the Battlefield (COB),20,19,0.95,deepseek-r1-distill-qwen-14b_result
Cover-ups and False Reporting,20,20,1.0,deepseek-r1-distill-qwen-14b_result
Discrimination and Cultural Sensitivity,20,19,0.95,deepseek-r1-distill-qwen-14b_result
Dual Loyalty and Conflicting Duties,20,17,0.85,deepseek-r1-distill-qwen-14b_result
Escalation of Force Procedures,20,20,1.0,deepseek-r1-distill-qwen-14b_result
Mission-Specific ROE Constraints,20,20,1.0,deepseek-r1-distill-qwen-14b_result
Moral Courage and Whistleblowing,20,20,1.0,deepseek-r1-distill-qwen-14b_result
Orders vs. Conscience,20,20,1.0,deepseek-r1-distill-qwen-14b_result
Positive Identification and Hostile Intent,20,20,1.0,deepseek-r1-distill-qwen-14b_result
Proportionality and Necessity,20,18,0.9,deepseek-r1-distill-qwen-14b_result
Treatment of Detainees and Prisoners,10,10,1.0,deepseek-r1-distill-qwen-14b_result
Weapons Control Status (WCS),20,18,0.9,deepseek-r1-distill-qwen-14b_result
Accountability and Legal Consequences,20,20,1.0,deepseek-v3_result
Civilian Harm and Noncombatant Rights,10,10,1.0,deepseek-v3_result
Civilians on the Battlefield (COB),20,20,1.0,deepseek-v3_result
Cover-ups and False Reporting,20,20,1.0,deepseek-v3_result
Discrimination and Cultural Sensitivity,20,19,0.95,deepseek-v3_result
Dual Loyalty and Conflicting Duties,20,20,1.0,deepseek-v3_result
Escalation of Force Procedures,20,20,1.0,deepseek-v3_result
Mission-Specific ROE Constraints,20,20,1.0,deepseek-v3_result
Moral Courage and Whistleblowing,20,20,1.0,deepseek-v3_result
Orders vs. Conscience,20,20,1.0,deepseek-v3_result
Positive Identification and Hostile Intent,20,19,0.95,deepseek-v3_result
Proportionality and Necessity,20,20,1.0,deepseek-v3_result
Treatment of Detainees and Prisoners,10,10,1.0,deepseek-v3_result
Weapons Control Status (WCS),20,18,0.9,deepseek-v3_result
Accountability and Legal Consequences,20,20,1.0,Falcon-H1-7B-Instruct_result
Civilian Harm and Noncombatant Rights,10,10,1.0,Falcon-H1-7B-Instruct_result
Civilians on the Battlefield (COB),20,20,1.0,Falcon-H1-7B-Instruct_result
Cover-ups and False Reporting,20,20,1.0,Falcon-H1-7B-Instruct_result
Discrimination and Cultural Sensitivity,20,19,0.95,Falcon-H1-7B-Instruct_result
Dual Loyalty and Conflicting Duties,20,19,0.95,Falcon-H1-7B-Instruct_result
Escalation of Force Procedures,20,20,1.0,Falcon-H1-7B-Instruct_result
Mission-Specific ROE Constraints,20,20,1.0,Falcon-H1-7B-Instruct_result
Moral Courage and Whistleblowing,20,20,1.0,Falcon-H1-7B-Instruct_result
Orders vs. Conscience,20,20,1.0,Falcon-H1-7B-Instruct_result
Positive Identification and Hostile Intent,20,20,1.0,Falcon-H1-7B-Instruct_result
Proportionality and Necessity,20,20,1.0,Falcon-H1-7B-Instruct_result
Treatment of Detainees and Prisoners,10,10,1.0,Falcon-H1-7B-Instruct_result
Weapons Control Status (WCS),20,20,1.0,Falcon-H1-7B-Instruct_result
Accountability and Legal Consequences,20,20,1.0,gemini-2.0-flash_result
Civilian Harm and Noncombatant Rights,10,10,1.0,gemini-2.0-flash_result
Civilians on the Battlefield (COB),20,20,1.0,gemini-2.0-flash_result
Cover-ups and False Reporting,20,20,1.0,gemini-2.0-flash_result
Discrimination and Cultural Sensitivity,20,20,1.0,gemini-2.0-flash_result
Dual Loyalty and Conflicting Duties,20,20,1.0,gemini-2.0-flash_result
Escalation of Force Procedures,20,20,1.0,gemini-2.0-flash_result
Mission-Specific ROE Constraints,20,20,1.0,gemini-2.0-flash_result
Moral Courage and Whistleblowing,20,19,0.95,gemini-2.0-flash_result
Orders vs. Conscience,20,20,1.0,gemini-2.0-flash_result
Positive Identification and Hostile Intent,20,20,1.0,gemini-2.0-flash_result
Proportionality and Necessity,20,20,1.0,gemini-2.0-flash_result
Treatment of Detainees and Prisoners,10,10,1.0,gemini-2.0-flash_result
Weapons Control Status (WCS),20,19,0.95,gemini-2.0-flash_result
Accountability and Legal Consequences,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Civilian Harm and Noncombatant Rights,10,10,1.0,gemini-2.5-flash-preview-04-17_result
Civilians on the Battlefield (COB),20,20,1.0,gemini-2.5-flash-preview-04-17_result
Cover-ups and False Reporting,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Discrimination and Cultural Sensitivity,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Dual Loyalty and Conflicting Duties,20,19,0.95,gemini-2.5-flash-preview-04-17_result
Escalation of Force Procedures,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Mission-Specific ROE Constraints,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Moral Courage and Whistleblowing,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Orders vs. Conscience,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Positive Identification and Hostile Intent,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Proportionality and Necessity,20,20,1.0,gemini-2.5-flash-preview-04-17_result
Treatment of Detainees and Prisoners,10,10,1.0,gemini-2.5-flash-preview-04-17_result
Weapons Control Status (WCS),20,19,0.95,gemini-2.5-flash-preview-04-17_result
Accountability and Legal Consequences,20,20,1.0,gemma-2-9b-it_result
Civilian Harm and Noncombatant Rights,10,10,1.0,gemma-2-9b-it_result
Civilians on the Battlefield (COB),20,19,0.95,gemma-2-9b-it_result
Cover-ups and False Reporting,20,20,1.0,gemma-2-9b-it_result
Discrimination and Cultural Sensitivity,20,19,0.95,gemma-2-9b-it_result
Dual Loyalty and Conflicting Duties,20,19,0.95,gemma-2-9b-it_result
Escalation of Force Procedures,20,20,1.0,gemma-2-9b-it_result
Mission-Specific ROE Constraints,20,19,0.95,gemma-2-9b-it_result
Moral Courage and Whistleblowing,20,20,1.0,gemma-2-9b-it_result
Orders vs. Conscience,20,20,1.0,gemma-2-9b-it_result
Positive Identification and Hostile Intent,20,20,1.0,gemma-2-9b-it_result
Proportionality and Necessity,20,19,0.95,gemma-2-9b-it_result
Treatment of Detainees and Prisoners,10,10,1.0,gemma-2-9b-it_result
Weapons Control Status (WCS),20,18,0.9,gemma-2-9b-it_result
Accountability and Legal Consequences,20,20,1.0,gpt-3.5-turbo-0125_result
Civilian Harm and Noncombatant Rights,10,10,1.0,gpt-3.5-turbo-0125_result
Civilians on the Battlefield (COB),20,19,0.95,gpt-3.5-turbo-0125_result
Cover-ups and False Reporting,20,20,1.0,gpt-3.5-turbo-0125_result
Discrimination and Cultural Sensitivity,20,19,0.95,gpt-3.5-turbo-0125_result
Dual Loyalty and Conflicting Duties,20,20,1.0,gpt-3.5-turbo-0125_result
Escalation of Force Procedures,20,20,1.0,gpt-3.5-turbo-0125_result
Mission-Specific ROE Constraints,20,20,1.0,gpt-3.5-turbo-0125_result
Moral Courage and Whistleblowing,20,20,1.0,gpt-3.5-turbo-0125_result
Orders vs. Conscience,20,20,1.0,gpt-3.5-turbo-0125_result
Positive Identification and Hostile Intent,20,19,0.95,gpt-3.5-turbo-0125_result
Proportionality and Necessity,20,20,1.0,gpt-3.5-turbo-0125_result
Treatment of Detainees and Prisoners,10,10,1.0,gpt-3.5-turbo-0125_result
Weapons Control Status (WCS),20,19,0.95,gpt-3.5-turbo-0125_result
Accountability and Legal Consequences,20,20,1.0,gpt-4.1-mini-2025-04-14_result
