qid_1,qid_2,similarity,category_1,category_2,model_1,model_2,file_1,file_2,question_1,question_2
law_of_war_2023__Operational_Moral_Reasoning__ROW0012__gpt_Q01,law_of_war_2023__Operational_Moral_Reasoning__ROW0013__gpt_Q02,1.0000,Operational Moral Reasoning,Operational Moral Reasoning,gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,What is the primary purpose of the Code of Conduct for U.S. Armed Forces?,What is the primary purpose of the Code of Conduct for U.S. Armed Forces?
law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0041__gpt_Q01,law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0041__gpt_Q02,0.9726,Civilians on the Battlefield (COB),Civilians on the Battlefield (COB),gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,Why is it important for members of an armed group to display a fixed distinctive sign?,What is the primary purpose of having a fixed distinctive sign for armed group members?
law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0053__gpt_Q01,law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0053__gpt_Q02,0.9501,Weapons Control Status (WCS),Weapons Control Status (WCS),gpt,gpt,questions_generated_multi_llm.jsonl,questions_generated_multi_llm.jsonl,Which of the following weapons are subject to specific rules that apply to their use by the U.S. armed forces according to the doctrine?,"According to the doctrine, which type of weapon is explicitly excluded from the specific rules that apply to their use by the U.S. armed forces?"
law_of_war_2023__Cyber_Operations__ROW0001__gpt_Q01,law_of_war_2023__Cyber_Operations__ROW0001__gpt_Q02,0.9490,Cyber Operations,Cyber Operations,gpt,gpt,questions_generated_multi_llm_v3.jsonl,questions_generated_multi_llm_v3.jsonl,Under what condition does the United States recognize the right to take action in self-defense in the context of cyber operations?,What is the United States' position on the inherent right of self-defense in relation to cyber operations?
joint_ethics_regulation__False_Reporting_and_Accurate_Reporting__ROW0001__gpt_Q01,joint_ethics_regulation__False_Reporting_and_Accurate_Reporting__ROW0001__gpt_Q02,0.9467,False Reporting and Accurate Reporting,False Reporting and Accurate Reporting,gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,When are DAEOs required to submit their semiannual reports to OGE?,What must DAEOs document in their semiannual reports to OGE?
law_of_war_2023__Operational_Moral_Reasoning__ROW0012__gpt_Q01,law_of_war_2023__Operational_Moral_Reasoning__ROW0012__claude_Q01,0.9441,Operational Moral Reasoning,Operational Moral Reasoning,gpt,claude,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,What is the primary purpose of the Code of Conduct for U.S. Armed Forces?,"According to the doctrine, what is the primary purpose of the Code of Conduct for U.S. Armed Forces?"
law_of_war_2023__Operational_Moral_Reasoning__ROW0013__gpt_Q02,law_of_war_2023__Operational_Moral_Reasoning__ROW0012__claude_Q01,0.9441,Operational Moral Reasoning,Operational Moral Reasoning,gpt,claude,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,What is the primary purpose of the Code of Conduct for U.S. Armed Forces?,"According to the doctrine, what is the primary purpose of the Code of Conduct for U.S. Armed Forces?"
rules_of_engagement__Positive_Identification_and_Hostile_Intent__ROW0022__gpt_Q01,rules_of_engagement__Positive_Identification_and_Hostile_Intent__ROW0023__gpt_Q01,0.9374,Positive Identification and Hostile Intent,Positive Identification and Hostile Intent,gpt,gpt,questions_generated_multi_llm.jsonl,questions_generated_multi_llm.jsonl,What constitutes a 'hostile act' according to the doctrine?,What constitutes hostile intent according to the doctrine?
law_of_war_2023__Civilian_Harm_and_Noncombatant_Rights__ROW0011__gpt_Q01,law_of_war_2023__Civilian_Harm_and_Noncombatant_Rights__ROW0011__gpt_Q02,0.9362,Civilian Harm and Noncombatant Rights,Civilian Harm and Noncombatant Rights,gpt,gpt,questions_generated_multi_llm.jsonl,questions_generated_multi_llm.jsonl,What is the primary purpose of creating a framework of classes of persons in the law of war?,How does the framework of classes of persons in the law of war aim to protect civilians?
law_of_war_2023__Cyber_Operations__ROW0004__gpt_Q02,law_of_war_2023__Cyber_Operations__ROW0005__gpt_Q01,0.9355,Cyber Operations,Cyber Operations,gpt,gpt,questions_generated_multi_llm_v3.jsonl,questions_generated_multi_llm_v3.jsonl,Which of the following is NOT a component of cyber operations as defined in the doctrine?,Which of the following actions is considered a cyber operation according to the doctrine?
law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0041__gpt_Q01,law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0041__gpt_Q03,0.9343,Civilians on the Battlefield (COB),Civilians on the Battlefield (COB),gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,Why is it important for members of an armed group to display a fixed distinctive sign?,What is a key requirement for the distinctive sign displayed by members of an armed group?
law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0041__gpt_Q02,law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0041__gpt_Q03,0.9320,Civilians on the Battlefield (COB),Civilians on the Battlefield (COB),gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,What is the primary purpose of having a fixed distinctive sign for armed group members?,What is a key requirement for the distinctive sign displayed by members of an armed group?
rules_of_engagement__Mission-Specific_ROE_Constraints__ROW0004__gpt_Q02,rules_of_engagement__Mission-Specific_ROE_Constraints__ROW0005__gpt_Q02,0.9305,Mission-Specific ROE Constraints,Mission-Specific ROE Constraints,gpt,gpt,questions_generated_multi_llm.jsonl,questions_generated_multi_llm.jsonl,What entities are included in the national self-defense according to the doctrine?,What is included in both unit and individual self-defense according to the doctrine?
law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0060__gpt_Q01,law_of_war_2023__Weapons_Control_Status_(WCS)__ROW0060__claude_Q01,0.9241,Weapons Control Status (WCS),Weapons Control Status (WCS),gpt,claude,questions_generated_multi_llm.jsonl,questions_generated_multi_llm.jsonl,Under what circumstances has the United States stated it would consider the use of nuclear weapons?,"According to U.S. policy, under what circumstances should the United States consider the use of nuclear weapons?"
law_of_war_2023__Civilian_Harm_and_Noncombatant_Rights__ROW0014__gpt_Q01,law_of_war_2023__Civilian_Harm_and_Noncombatant_Rights__ROW0014__gpt_Q02,0.9221,Civilian Harm and Noncombatant Rights,Civilian Harm and Noncombatant Rights,gpt,gpt,questions_generated_multi_llm.jsonl,questions_generated_multi_llm.jsonl,"Which of the following groups is authorized to support the armed forces in fighting, despite not being members of the armed forces?",Who among the following can be considered as supporting the armed forces while not being a member of the armed forces?
law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0043__gpt_Q02,law_of_war_2023__Civilians_on_the_Battlefield_(COB)__ROW0043__gpt_Q03,0.9208,Civilians on the Battlefield (COB),Civilians on the Battlefield (COB),gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,"If a person is found claiming both combatant and civilian rights, what does the doctrine suggest?",What is the doctrinal stance on a person attempting to claim the rights of both combatants and civilians?
law_of_war_2023__Proportionality_and_Necessity__ROW0022__gpt_Q01,law_of_war_2023__Proportionality_and_Necessity__ROW0022__gpt_Q02,0.9175,Proportionality and Necessity,Proportionality and Necessity,gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,"In response to a cyber armed attack, which of the following is true regarding the form of self-defense?",What are the requirements for a self-defense response to a cyber armed attack?
law_of_war_2023__Discrimination_and_Cultural_Sensitivity__ROW0042__gpt_Q02,law_of_war_2023__Discrimination_and_Cultural_Sensitivity__ROW0044__gpt_Q02,0.9159,Discrimination and Cultural Sensitivity,Discrimination and Cultural Sensitivity,gpt,gpt,questions_generated_multi_llm.jsonl,questions_generated_multi_llm.jsonl,What type of property is included in the definition of cultural property?,Which of the following is considered cultural property according to the doctrine?
joint_ethics_regulation__False_Reporting_and_Accurate_Reporting__ROW0002__gemini_Q01,joint_ethics_regulation__False_Reporting_and_Accurate_Reporting__ROW0002__claude_Q01,0.9154,False Reporting and Accurate Reporting,False Reporting and Accurate Reporting,gemini,claude,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,"You are assisting with the OGE Annual Agency Ethics Program Questionnaire. You need to determine which entity is responsible for reporting financial disclosure compliance data for General and Flag officers currently assigned to Joint Duty Assignments (JDAs). According to the text, who reports this data?",A General officer assigned to a Joint Duty Assignment (JDA) has completed their annual financial disclosure. Who is responsible for reporting this compliance data to OGE for the Annual Agency Ethics Program Questionnaire?
law_of_war_2023__The_Law_of_Neutrality__ROW0033__gpt_Q01,law_of_war_2023__The_Law_of_Neutrality__ROW0034__gpt_Q02,0.9096,The Law of Neutrality,The Law of Neutrality,gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,What would likely violate a neutral State's duties under the law of neutrality?,How should a neutral State's resistance to violations of its neutrality be regarded?
law_of_war_2023__The_Law_of_Neutrality__ROW0034__gpt_Q01,law_of_war_2023__The_Law_of_Neutrality__ROW0034__gpt_Q02,0.9085,The Law of Neutrality,The Law of Neutrality,gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,What action can a neutral State take to prevent violations of its neutrality on its territory?,How should a neutral State's resistance to violations of its neutrality be regarded?
rules_of_engagement__Mission-Specific_ROE_Constraints__ROW0001__gpt_Q01,rules_of_engagement__Mission-Specific_ROE_Constraints__ROW0001__gpt_Q02,0.9063,Mission-Specific ROE Constraints,Mission-Specific ROE Constraints,gpt,gpt,questions_generated_multi_llm.jsonl,questions_generated_multi_llm.jsonl,Under what condition can U.S. units engage a Declared Hostile Force (DHF)?,When is it NOT permissible to engage a Declared Hostile Force (DHF)?
law_of_war_2023__The_Law_of_Neutrality__ROW0033__gpt_Q01,law_of_war_2023__The_Law_of_Neutrality__ROW0034__gpt_Q01,0.9055,The Law of Neutrality,The Law of Neutrality,gpt,gpt,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,What would likely violate a neutral State's duties under the law of neutrality?,What action can a neutral State take to prevent violations of its neutrality on its territory?
rules_of_engagement__Proportionality_and_Necessity__ROW0021__gemini_Q01,law_of_war_2023__Proportionality_and_Necessity__ROW0024__gemini_Q01,0.9014,Proportionality and Necessity,Proportionality and Necessity,gemini,gemini,questions_generated_multi_llm_v2.jsonl,questions_generated_multi_llm_v2.jsonl,"Your unit is responding to a hostile act in self-defense. When determining the appropriate level of force, which statement accurately reflects the doctrine on proportionality?","You are authorizing a defensive response to an armed attack. Under the principle of proportionality described in the text, to what extent is force permitted?"
